,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
242,110/05/28,"28,270,213","1,370,757,563",47.25,49.80,47.15,47.95,+2.05,"14,927"
243,110/05/31,"31,096,328","1,543,906,811",49.80,51.30,47.80,48.35,+0.40,"15,401"
244,110/06/01,"10,467,603","506,224,599",48.80,49.35,47.40,48.55,+0.20,"5,110"
245,110/06/02,"39,484,750","2,007,528,662",49.20,52.70,48.80,51.90,+3.35,"17,704"
246,110/06/03,"44,407,361","2,357,270,565",52.80,54.70,52.00,52.50,+0.60,"20,266"
247,110/06/04,"27,727,396","1,462,448,469",52.00,54.40,51.00,51.70,-0.80,"11,861"
248,110/06/07,"22,337,685","1,116,633,225",53.00,53.00,47.15,49.40,-2.30,"10,749"
249,110/06/08,"9,701,491","482,647,109",49.65,50.50,48.80,49.60,+0.20,"4,433"
250,110/06/09,"12,432,313","603,707,624",49.75,50.10,47.80,48.20,-1.40,"6,725"
251,110/06/10,"15,185,315","716,772,318",48.20,48.45,46.45,47.80,-0.40,"8,536"
252,110/06/11,"6,479,216","312,044,030",47.90,48.80,47.50,48.40,+0.60,"3,403"
253,110/06/15,"11,083,493","538,574,015",48.20,49.60,47.50,49.25,+0.85,"5,721"
254,110/06/16,"8,305,752","407,132,250",49.25,49.95,48.20,48.50,-0.75,"4,596"
255,110/06/17,"10,561,532","510,642,899",48.00,49.45,47.60,48.10,-0.40,"5,481"
256,110/06/18,"10,297,927","496,770,496",47.95,48.80,47.90,47.95,-0.15,"4,963"
257,110/06/21,"9,304,263","436,730,049",47.60,48.10,46.50,46.50,-1.45,"5,308"
258,110/06/22,"27,869,994","1,366,374,244",46.95,50.00,46.90,49.00,+2.50,"12,639"
259,110/06/23,"20,237,862","975,680,595",50.30,50.40,47.20,47.35,-1.65,"9,458"
260,110/06/24,"15,447,983","741,877,430",47.80,49.10,47.50,47.95,+0.60,"6,363"
261,110/06/25,"11,211,459","527,986,330",47.35,47.75,46.60,46.70,X0.00,"6,144"
262,110/06/28,"29,653,092","1,446,827,273",47.30,49.85,46.95,49.30,+2.60,"14,605"
263,110/06/29,"59,352,919","3,009,923,670",49.30,52.90,49.10,50.00,+0.70,"28,120"
264,110/06/30,"68,293,284","3,567,212,970",51.20,53.90,50.90,52.50,+2.50,"31,290"
265,110/07/01,"42,488,589","2,217,899,024",53.80,54.80,50.10,50.80,-1.70,"20,584"
266,110/07/02,"28,336,455","1,472,833,510",52.00,53.10,50.80,52.10,+1.30,"13,091"
267,110/07/05,"57,551,649","3,263,554,964",54.40,57.30,54.20,57.30,+5.20,"18,657"
268,110/07/06,"74,386,075","4,232,152,431",59.00,59.70,55.20,55.90,-1.40,"32,658"
269,110/07/07,"32,742,957","1,770,638,518",55.30,56.10,52.80,53.10,-2.80,"16,731"
270,110/07/08,"25,159,930","1,367,195,779",53.60,55.70,52.90,54.80,+1.70,"11,881"
271,110/07/09,"17,299,548","927,496,031",53.50,54.80,53.00,53.00,-1.80,"9,006"
272,110/07/12,"23,658,819","1,278,381,783",55.20,55.90,52.80,53.00, 0.00,"10,287"
273,110/07/13,"27,261,191","1,379,885,099",53.40,53.40,49.05,49.50,-3.50,"14,455"
274,110/07/14,"16,535,178","802,536,575",50.00,50.30,47.20,49.05,-0.45,"8,891"
275,110/07/15,"11,092,511","553,167,435",49.50,50.60,49.00,50.50,+1.45,"6,365"
276,110/07/16,"8,783,794","436,128,393",50.00,50.40,49.40,49.50,-1.00,"4,418"
277,110/07/19,"11,824,514","593,414,195",49.90,51.00,49.35,50.00,+0.50,"5,661"
278,110/07/20,"11,186,272","547,399,467",49.70,50.40,48.30,48.95,-1.05,"6,053"
279,110/07/21,"12,916,904","633,364,968",49.50,50.00,47.75,48.20,-0.75,"6,950"
280,110/07/22,"9,149,872","435,764,783",48.90,48.90,47.00,47.30,-0.90,"5,439"
281,110/07/23,"6,796,700","328,786,309",47.80,49.00,47.35,48.70,+1.40,"3,510"
282,110/07/26,"5,675,816","273,952,782",49.20,49.20,47.90,47.90,-0.80,"3,168"
283,110/07/27,"9,096,275","429,963,342",48.65,48.65,46.65,46.75,-1.15,"5,083"
284,110/07/28,"7,726,683","362,200,913",46.85,47.95,45.90,46.85,+0.10,"4,492"
285,110/07/29,"4,917,703","233,016,661",47.15,47.95,46.80,47.80,+0.95,"3,209"
286,110/07/30,"10,024,721","473,430,942",47.80,48.25,46.50,46.60,-1.20,"5,396"
287,110/08/02,"5,094,976","240,206,480",46.70,47.70,46.60,47.65,+1.05,"2,450"
288,110/08/03,"4,838,663","226,781,227",47.65,47.70,46.65,46.85,-0.80,"3,162"
289,110/08/04,"5,782,456","270,189,106",46.95,47.40,46.40,46.90,+0.05,"3,194"
290,110/08/05,"10,110,196","464,069,712",46.60,46.70,45.60,45.60,-1.30,"6,773"
291,110/08/06,"5,795,948","265,622,073",45.50,46.35,45.10,45.60, 0.00,"3,295"
292,110/08/09,"6,154,129","286,834,363",45.85,47.00,45.70,46.80,+1.20,"3,275"
293,110/08/10,"6,113,962","281,816,779",46.85,46.90,45.80,46.00,-0.80,"3,682"
294,110/08/11,"5,880,466","270,582,742",46.20,47.15,45.30,45.60,-0.40,"2,982"
295,110/08/12,"4,121,721","190,267,352",45.65,46.80,45.50,46.60,+1.00,"2,072"
296,110/08/13,"4,871,601","223,310,480",46.70,46.75,45.60,45.75,-0.85,"3,030"
297,110/08/16,"8,368,758","373,307,203",46.05,46.35,43.95,44.05,-1.70,"4,360"
298,110/08/17,"12,212,380","522,173,840",44.00,44.30,41.50,41.70,-2.35,"6,649"
299,110/08/18,"12,594,574","537,710,844",41.20,44.30,40.65,44.20,+2.50,"6,647"
300,110/08/19,"10,713,930","465,973,587",43.35,44.65,42.50,42.55,-1.65,"6,501"
301,110/08/20,"12,387,844","516,731,426",42.50,42.85,41.15,41.35,-1.20,"6,476"
302,110/08/23,"7,528,180","318,867,529",41.75,42.90,41.70,42.25,+0.90,"3,712"
303,110/08/24,"10,060,176","430,767,173",42.70,44.15,42.05,42.65,+0.40,"5,372"
304,110/08/25,"5,635,338","239,793,259",42.25,42.95,42.05,42.95,+0.30,"3,072"
305,110/08/26,"20,369,474","900,214,787",42.95,46.30,42.70,43.20,+0.25,"10,479"
306,110/08/27,"7,930,070","341,589,379",42.80,43.65,42.50,43.60,+0.40,"4,562"
307,110/08/30,"5,790,212","252,598,056",43.75,44.10,43.25,43.60, 0.00,"3,023"
308,110/08/31,"9,266,691","408,090,583",43.70,44.50,43.55,44.50,+0.90,"4,674"
309,110/09/01,"9,543,870","420,007,729",44.50,44.90,43.50,43.60,-0.90,"4,659"
310,110/09/02,"15,461,244","653,516,078",43.30,43.35,41.80,41.85,-1.75,"7,049"
